Name,Number,Type,Street,Quarter,Plan_number
Coiffeur,285,Salon de coiffure,Place Moufflier,Le Thovex,7
Coin des Amis Le,297,Bar,Val Village,Val Village,8
Coin Savoyard,234,Restaurant,Montée de Bellevarde,Vers les Eaux,6
Colombia,301,Commerce,Val Village,Val Village,8
Cooperative Laitière,300,Commerce,Val Village,Val Village,8
Coprin,163,Chalet,Route de la Balme,La Balme,5
Cordée La,54,Chalet,Chemin de la Ruaz,Le Crêt,3
Corniche La,474,Restaurant,Rue des Leissières,Vieux Village,8
Costa,466,Chalet,Rue Nicolas Bazile,Vieux Village,8
Côté Paul,210,Chalet,Rue du Coin,Le Coin,7
Couchire,558,Chalet,Route du Fornet,Le Fornet,15
Cousillons Les,362,Fromagerie,Rue du Joseray,Le Joseray,10
Côves 1 Les,73,Résidence,Route de la Balme,Le Clos,3
Côves2 Les,77,Résidence,Chemin des Côves,Les Coves,3
Coyote,94,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Crazy Barmes,290,Commerce,Avenue du Prariond,Le Thovex,7
Crèche Bout'choux,88,Bâtiment,Route de la Balme,Le Bosset,4
Crédit Agricole des Savoie,281,Banque,Avenue Olympique,Le Thovex,7
Crêpe Val,297,Crêperie,Val Village,Val Village,8
Crêperie du Grand Marnier La,306,Crêperie,Place des Dolomites,Val Village,8
Crêperie La,284,Crêperie,Place Moufflier,Le Thovex,7
Cressets Les,530,Chalet,Rue du Fornet,Le Fornet,15
Crêt (Chalet du),48,Chalet,Chemin de la Ruaz,Le Crêt,3
Crêt 1,56,Résidence,Chemin du Crêt,Le Crêt,3
Crêt 2,55,Résidence,Chemin du Crêt,Le Crêt,3
Crêtes Blanches Les,200,Hôtel,Rue du Parc des Sports,Le Coin,7
Cristal,30,Chalet,Rue de la Daille,La Daille,2
Cristallines Les,116,Résidence,Impasse du Planay,Le Cacholet,3
Cristilidji,425,Chalet,Rue de la Legettaz,La Legettaz,10
Crocus Le,280,Résidence,Avenue Olympique,Le Thovex,7
Croix du Sud La,252,Résidence,Rue du Parc des Sports,Les Lèches,7
Croix La,42,Chalet,Chemin de la Ruaz,Le Crêt,3
Crozets Les,553,Restaurant,Route du Fornet,Le Fornet,15
Crystal A/B,220,Chalet,Montée de Bellevarde,Vers les Eaux,6
Cygnaski,86,Résidence,Route de la Balme,Le Bosset,4
Dahu Le,330,Résidence,Rue des Leissières,Le Front de Neige,8
Daille La,35,Résidence,Rue de la Daille,La Daille,1
Dalva,262,Chalet/Résidence,Rue Noël Machet,Les Lèches,7
Dana,659,Chalet,Rue du Chatelard,Châtelard,11
Danaïdes du Praz,406,Résidence,Accès par Rue de la Legettaz,La Legettaz,11
Danaïdes Les,328,Résidence,Rue de l'église,Le Front de Neige,8
Danival,331,Résidence,Rue des Leissières,Le Front de Neige,8
Daphnées Les,258,Résidence,Rue du Parc des Sports,Les Lèches,7
Darbi Le,159,Chalet,Rue de la Face,La Calabourdanne,7
Davos Kloster,66,Chalet,Chemin du Cacholet,Le Crêt,3
DDE-DIR,150,Bâtiment,Avenue Olympique,L'Illaz,4
Decales,301,Commerce,Val Village,Val Village,8
Delta,386,Chalet,Accès par Rue du Joseray,Châtelard,11
Delval Immobilier,2884,Agence Immobilière,Place Moufflier,Le Thovex,7
Dentiste,63,Centre Médical,Avenue Olympique,Le Crêt,3
Diamant,225,Chalet,Montée de Bellevarde,Vers les Eaux,6
Dick's Tea Bar,200,Discothèque,Rue du Parc des Sports,Le Coin,7
Doline,197,Chalet,Rue de la Legettaz,La Legettaz,11
Dolomites Les,489,Hôtel,Avenue du Prariond,Les Richardes,12
Dôme Le,217,Résidence,Avenue Olympique,Le Dôme,7
Doudoune Club La,441,Discothèque,Rue du Cachay,Rond-Point des Pistes,9
Duc de Savoie Le,212,Hôtel,Accès par Avenue Olympique,Le Dôme,7
Eagle N'Est,231,Chalet,Montée de Bellevarde,Vers les Eaux,6
Eau Design,127,Plomberie Chauffage,Avenue Olympique,Illaz,4
Eau Vive L',265,Résidence,Rue du Cocor,Les Lèches,7
